Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpend,Family_Size,Customer_Tenure_Days,Log_TotalSpend,Accepted_Total,Cluster_KMeans,Cluster_Hier,Cluster_DBSCAN,Cluster_GMM,Cluster_KMeans_Label
Graduation,Single,58138.0,0.0,0.0,2012-09-04,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,68.0,1617.0,1.0,4866.0,7.388946097618437,0.0,0,1,-1,1,High Value
Graduation,Single,46344.0,1.0,1.0,2014-03-08,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,71.0,27.0,3.0,4316.0,3.332204510175204,0.0,1,0,-1,0,Low Value
Graduation,Together,71613.0,0.0,0.0,2013-08-21,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,60.0,776.0,1.0,4515.0,6.655440350367647,0.0,0,1,-1,1,High Value
Graduation,Together,26646.0,1.0,0.0,2014-02-10,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,41.0,53.0,2.0,4342.0,3.9889840465642745,0.0,1,0,1,0,Low Value
PhD,Married,58293.0,1.0,0.0,2014-01-19,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,44.0,422.0,2.0,4364.0,6.0473721790462776,0.0,1,1,-1,0,Low Value
Master,Together,62513.0,0.0,1.0,2013-09-09,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,58.0,716.0,2.0,4496.0,6.57507584059962,0.0,0,1,-1,1,High Value
Graduation,Divorced,55635.0,0.0,1.0,2012-11-13,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,54.0,590.0,2.0,4796.0,6.3818160174060985,0.0,0,1,-1,1,High Value
PhD,Married,33454.0,1.0,0.0,2013-05-08,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,40.0,169.0,2.0,4620.0,5.135798437050262,0.0,1,0,-1,0,Low Value
PhD,Together,30351.0,1.0,0.0,2013-06-06,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,51.0,46.0,2.0,4591.0,3.8501476017100584,0.0,1,0,-1,0,Low Value
PhD,Together,5648.0,1.0,1.0,2014-03-13,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,75.0,49.0,3.0,4311.0,3.912023005428146,1.0,1,0,-1,0,Low Value
